=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158413,2982,30238,3692,89,4045,12288,1.73,15.51
1755158414,2982,30238,3692,89,4045,12288,0.00,15.50
1755158416,2982,30238,3692,89,4045,12288,4.29,15.50
1755158417,2982,30238,3692,89,4045,12288,2.58,15.51
1755158418,2982,30238,3692,89,4045,12288,0.00,15.49
1755158419,2982,30238,3692,89,4045,12288,1.54,15.50
1755158420,2982,30238,3692,89,4045,12288,1.99,15.50
1755158421,2982,30238,3692,89,4045,12288,0.00,15.48
1755158422,2982,30238,3692,89,4045,12288,2.25,15.50
1755158423,2982,30238,3692,89,4045,12288,0.00,15.49
1755158424,2983,30302,3693,89,4045,12288,2.14,15.48
1755158425,2982,30238,3692,89,4045,12288,0.85,15.50
1755158426,3000,30302,3710,89,4045,12288,2.62,15.53
1755158427,2982,30238,3691,89,4045,12288,1.18,15.49
1755158428,3007,30366,3717,89,4133,12288,4.55,15.52
1755158429,2982,30238,3691,89,4045,12288,1.22,15.49
1755158430,2991,30302,3700,89,4129,12288,0.00,15.49
1755158431,2988,30244,3697,89,4045,12288,0.00,15.49
1755158432,3014,30372,3723,89,4113,12288,56.29,15.54
1755158433,2988,30244,3698,89,4045,12288,0.00,15.51
1755158434,2996,30308,3706,89,4049,12288,7.14,15.47
1755158435,2988,30244,3698,89,4045,12288,7.69,15.45
1755158436,2992,30308,3702,89,4045,12288,50.96,15.46
1755158437,2988,30244,3698,89,4045,12288,2.78,15.46
1755158438,3054,30372,3764,89,4045,12288,50.00,15.56
1755158439,3034,30244,3743,89,4045,12288,2.70,15.53
1755158440,3049,30372,3758,89,4047,12288,0.00,15.55
1755158441,2988,30244,3698,89,4045,12288,1.14,15.48
1755158442,3063,30372,3773,89,4049,12288,53.12,15.58
1755158444,3033,30244,3743,89,4045,12288,5.13,15.54
1755158445,3041,30308,3751,89,4045,12288,68.00,15.55
1755158446,3033,30244,3743,89,4045,12288,1.56,15.54
1755158447,3018,30372,3728,89,4045,12288,27.36,15.52
1755158448,2988,30244,3698,89,4045,12288,1.55,15.46
1755158449,2988,30244,3698,89,4045,12288,1.09,15.48
1755158450,2988,30244,3698,89,4045,12288,0.00,15.47
1755158451,2988,30244,3698,89,4045,12288,1.08,15.49
1755158452,2988,30244,3698,89,4045,12288,1.18,15.47
1755158453,2988,30244,3698,89,4045,12288,1.61,15.47
1755158454,3007,30308,3716,89,4045,12288,1.95,15.49
1755158455,2988,30244,3698,89,4045,12288,8.33,15.46
1755158456,3010,30308,3720,89,4045,12288,3.10,15.50
1755158457,2988,30244,3698,89,4045,12288,1.59,15.48
1755158458,2996,30308,3705,89,4101,12288,3.23,15.48
=== 内存监控开始 === 1755158527
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158528,488,15417,909,10,3149,12288,1.13,11.40
1755158529,865,19814,1287,10,3149,12288,0.98,12.00
1755158530,951,20025,1373,10,3153,12288,5.26,12.12
1755158531,1787,21820,2320,10,3433,12288,3.34,13.45
1755158532,2614,28243,3231,10,3709,12288,9.30,14.74
1755158533,2719,29103,3400,65,3933,12288,3.33,15.03
1755158534,2747,29231,3429,65,3939,12288,0.00,15.04
1755158535,2706,29315,3399,77,3991,12288,0.00,15.01
1755158536,2780,29443,3473,77,4065,12288,33.33,15.13
1755158537,2783,29385,3476,77,3991,12288,3.28,15.14
1755158538,2811,29545,3504,77,4065,12288,39.44,15.18
1755158539,2805,29563,3508,87,4035,12288,0.00,15.18
1755158540,2823,29691,3526,87,4047,12288,3.57,15.22
1755158541,2805,29627,3508,87,4035,12288,1.29,15.21
1755158542,2830,29755,3534,87,4039,12288,0.00,15.22
1755158543,2819,29706,3523,87,4035,12288,3.26,15.21
1755158544,2841,29834,3545,87,4035,12288,50.96,15.25
=== 内存监控开始 === 1755158607
